kernel,target,phase,weft,source,ratio,measurement
iq4_xs_q8_K,V100,decode,,4.521973,,native-jit-dispatch-bound
mxfp4_q8_0,V100,decode,,5.555435,,native-jit-dispatch-bound
nvfp4_q8_0,V100,decode,,0.295657,,native-jit-dispatch-bound
q1_0_q8_0,V100,decode,,5.678903,,native-jit-dispatch-bound
q2_K_q8_K,V100,decode,,5.570191,,native-jit-dispatch-bound
q3_K_q8_K,V100,decode,,5.131320,,native-jit-dispatch-bound
q4_0_q8_0,V100,decode,,3.801746,,native-jit-dispatch-bound
q4_1_q8_1,V100,decode,,2.931510,,native-jit-dispatch-bound
q4_K_q8_K,V100,decode,,5.151036,,native-jit-dispatch-bound
q5_0_q8_0,V100,decode,,3.241335,,native-jit-dispatch-bound
q5_1_q8_1,V100,decode,,2.499414,,native-jit-dispatch-bound
q5_K_q8_K,V100,decode,,2.857164,,native-jit-dispatch-bound
q6_K_q8_K,V100,decode,,5.462715,,native-jit-dispatch-bound
q8_0_q8_0,V100,decode,,4.572183,,native-jit-dispatch-bound
tq1_0_q8_K,V100,decode,,5.891432,,native-jit-dispatch-bound
tq2_0_q8_K,V100,decode,,10.861367,,native-jit-dispatch-bound
